COMBUSTÍVEL ; ANO ; REGIÃO ; ESTADO ; UNIDADE ; JANEIRO ; FEVEREIRO ; MARÇO ; ABRIL ; MAIO ; JUNHO ; JULHO ; AGOSTO ; SETEMBRO ; OUTUBRO ; NOVEMBRO ; DEZEMBRO ; TOTAL ; 
ÓLEO DIESEL ;1993; REGIÃO NORDESTE ; PARAÍBA ; m3 ;15199,95;13176,25;17139,37;15200,32;15529,27;17440,42;15935,05;15331,94;14868,73;16841,49;17405,98;19775,37;193844,14; 
ÓLEO DIESEL ;1993; REGIÃO NORDESTE ; PERNAMBUCO ; m3 ;49844,48;44389,7;52092,06;43447,85;42917,4;45449,895;40820,48;46275,295;43163,564;47251,023;49620,653;53698,79;558971,19; 
ÓLEO DIESEL ;1993; REGIÃO NORDESTE ; ALAGOAS ; m3 ;22608,35;18661,6;17191,01;14798,4;14033,75;15382,07;14202,85;17737,946;17831,9;21266,95;23337,24;30435,55;227487,616; 
ÓLEO DIESEL ;1993; REGIÃO NORDESTE ; SERGIPE ; m3 ;15270,154;13947,878;16350,897;14172,38;14023,081;14535,419;14012,476;14240,134;14883,579;14496,386;15165,636;16734,888;177832,908; 
ÓLEO DIESEL ;1993; REGIÃO NORDESTE ; BAHIA ; m3 ;102885,053;98932,943;119038,924;107208,251;109105,763;115627,409;112824,05;116541,743;112486,632;114838,496;110242,161;115863,502;1335594,927; 
ÓLEO DIESEL ;1993; REGIÃO SUDESTE ; MINAS GERAIS ; m3 ;237631,304;225080,515;286139,495;263510,322;282995,919;298946,876;299411,403;304870,373;297806,289;298306,079;295015,146;247948,147;3337661,868; 
ÓLEO DIESEL ;1993; REGIÃO SUDESTE ; ESPÍRITO SANTO ; m3 ;30575,394;31971,265;38379,965;34795,551;36442,441;42481,791;41855,38;44330,732;46405,966;46252,037;45968,734;50203,584;489662,84; 
ÓLEO DIESEL ;1993; REGIÃO SUDESTE ; RIO DE JANEIRO ; m3 ;112783,057;108521,48;132312,178;117849,86;120570,897;124942,429;122654,102;125668,049;162759,493;123742,606;124821,573;112820,013;1489445,737; 
ÓLEO DIESEL ;1993; REGIÃO SUDESTE ; SÃO PAULO ; m3 ;449243,981;413479,882;575850,087;492972,102;526546,638;574895,794;571450,163;585728,46;563530,409;580616,876;559830,077;534584,251;6428728,72; 
ÓLEO DIESEL ;1993; REGIÃO SUL ; PARANÁ ; m3 ;144400,349;145454,864;215082,928;210180,389;192083,905;207146,175;200196,904;229709,118;208037,218;225052,298;213642,34;195092,402;2386078,89; 
