COMBUSTÍVEL ; ANO ; REGIÃO ; ESTADO ; UNIDADE ; JANEIRO ; FEVEREIRO ; MARÇO ; ABRIL ; MAIO ; JUNHO ; JULHO ; AGOSTO ; SETEMBRO ; OUTUBRO ; NOVEMBRO ; DEZEMBRO ; TOTAL ; 
QUEROSENE ILUMINANTE ;1999; REGIÃO SUDESTE ; RIO DE JANEIRO ; m3 ;352,06;277,823;481,63;521,79;551,287;500,18;336,13;456,82;426,32;347,4;986,01;1095,56;6333,01; 
QUEROSENE ILUMINANTE ;1999; REGIÃO SUDESTE ; SÃO PAULO ; m3 ;1173,751;1211,112;1335,13;1500,834;1525,807;1335,477;1214,62;2318,125;2516,395;3156,254;2120,8;2837,29;22245,595; 
QUEROSENE ILUMINANTE ;1999; REGIÃO SUL ; PARANÁ ; m3 ;551,603;559,545;769,6;661,315;939,761;725,923;642,725;757,359;761,595;767,305;862,5;827,548;8826,779; 
QUEROSENE ILUMINANTE ;1999; REGIÃO SUL ; SANTA CATARINA ; m3 ;528,762;413,6;614,796;474,856;546,025;477,482;513,044;531,412;449,384;480,38;525,728;452,452;6007,921; 
QUEROSENE ILUMINANTE ;1999; REGIÃO SUL ; RIO GRANDE DO SUL ; m3 ;735,06;580,972;968,984;785,578;866,448;931,044;854,892;825,15;856,556;929,572;1329,844;1518,308;11182,408; 
QUEROSENE ILUMINANTE ;1999; REGIÃO CENTRO-OESTE ; MATO GROSSO DO SUL ; m3 ;19,95;21,45;21,95;25,35;25;14;24;31,94;20;14;12,6;42,6;272,84; 
QUEROSENE ILUMINANTE ;1999; REGIÃO CENTRO-OESTE ; MATO GROSSO ; m3 ;0;0;0;0;0;0;10;0;0;0;0;0;10; 
QUEROSENE ILUMINANTE ;1999; REGIÃO CENTRO-OESTE ; GOIÁS ; m3 ;90,05;96,05;94,7;100;92,1;120,326;110;105,01;80;66;75;75,4;1104,636; 
QUEROSENE ILUMINANTE ;1999; REGIÃO CENTRO-OESTE ; DISTRITO FEDERAL ; m3 ;21,4;35,4;39,8;22,2;43,4;28,4;22,6;37,6;41,8;16,412;15,4;21;345,412; 
QUEROSENE ILUMINANTE  ;2000; REGIÃO NORTE ; RONDÔNIA ; m3 ;5395,39;5085,359;10;0;0;10;10;0;10;35;0;0;10555,749; 
QUEROSENE ILUMINANTE  ;2000; REGIÃO NORTE ; ACRE ; m3 ;0;0;0;0;0;0;0;0;0;0;0;0;0; 
QUEROSENE ILUMINANTE  ;2000; REGIÃO NORTE ; AMAZONAS ; m3 ;281,2;272,6;227;333;291;366,8;246;366;228;306;351;216,2;3484,8; 
QUEROSENE ILUMINANTE  ;2000; REGIÃO NORTE ; RORAIMA ; m3 ;0;0;0;0;0;0;0;0;0;0;0;0;0; 
QUEROSENE ILUMINANTE  ;2000; REGIÃO NORTE ; PARÁ ; m3 ;319,15;283,2;274,25;272,1;305,25;312,05;251,35;257,3;295,25;248,1;267,2;218,25;3303,45; 
QUEROSENE ILUMINANTE  ;2000; REGIÃO NORTE ; AMAPÁ ; m3 ;0;0;0;0;0;0;0;0;0;0;0;0;0; 
QUEROSENE ILUMINANTE  ;2000; REGIÃO NORTE ; TOCANTINS ; m3 ;0;0;0;0;0;0;0;0;0;0;0;0;0; 
QUEROSENE ILUMINANTE  ;2000; REGIÃO NORDESTE ; MARANHÃO ; m3 ;652,9;558,1;447,95;471,2;573;456,55;523,15;535,1;361,1;577,2;609,1;462,9;6228,25; 
QUEROSENE ILUMINANTE  ;2000; REGIÃO NORDESTE ; PIAUÍ ; m3 ;210;215;180;195;165;220;343,634;198,414;141,66;114,428;229,095;102,25;2314,481; 
